name,source,page,srd,category,cr,size,ac,hp_average,hp_formula,hit_dice,passive,str,dex,con,int,wis,cha,can_hover,can_fly,can_burrow,speed_walk,speed_fly,speed_swim,speed_climb,speed_burrow,save_con,save_int,save_wis,save_dex,save_cha,save_str,resist_fire,resist_cold,resist_lightning,resist_acid,resist_thunder,resist_poison,resist_necrotic,resist_radiant,resist_force,resist_psychic,resist_bludgeoning,resist_piercing,resist_slashing,resist_nonmagical_attacks,resist_nonmagical_attacks_not_silvered,resist_nonmagical_attacks_not_adamantine,immune_fire,immune_cold,immune_lightning,immune_acid,immune_thunder,immune_poison,immune_necrotic,immune_radiant,immune_force,immune_psychic,immune_bludgeoning,immune_piercing,immune_slashing,immune_nonmagical_attacks,immune_nonmagical_attacks_not_silvered,immune_nonmagical_attacks_not_adamantine,conditionImmune_charmed,conditionImmune_exhaustion,conditionImmune_frightened,conditionImmune_paralyzed,conditionImmune_poisoned,conditionImmune_grappled,conditionImmune_petrified,conditionImmune_prone,conditionImmune_restrained,conditionImmune_unconscious,conditionImmune_blinded,conditionImmune_deafened,conditionImmune_stunned,conditionInflict_charmed,conditionInflict_exhaustion,conditionInflict_frightened,conditionInflict_paralyzed,conditionInflict_poisoned,conditionInflict_grappled,conditionInflict_petrified,conditionInflict_prone,conditionInflict_restrained,conditionInflict_unconscious,conditionInflict_blinded,conditionInflict_deafened,conditionInflict_stunned,traitTags_Amphibious,traitTags_Keen Senses,traitTags_Legendary Resistances,traitTags_Magic Resistance,traitTags_Pounce,traitTags_Magic Weapons,traitTags_Antimagic Susceptibility,traitTags_False Appearance,traitTags_Sneak Attack,traitTags_Illumination,traitTags_Pack Tactics,traitTags_Death Burst,traitTags_Incorporeal Movement,traitTags_Devil's Sight,traitTags_Reckless,traitTags_Undead Fortitude,traitTags_Amorphous,traitTags_Spider Climb,traitTags_Regeneration,traitTags_Charge,traitTags_Brute,traitTags_Damage Absorption,traitTags_Immutable Form,traitTags_Light Sensitivity,traitTags_Turn Immunity,traitTags_Hold Breath,traitTags_Shapechanger,traitTags_Ambusher,traitTags_Fey Ancestry,traitTags_Sunlight Sensitivity,traitTags_Web Walker,traitTags_Siege Monster,traitTags_Web Sense,traitTags_Rejuvenation,traitTags_Flyby,traitTags_Turn Resistance,traitTags_Rampage,traitTags_Water Breathing,traitTags_Spell Immunity,traitTags_Aggressive,atk1_type,atk1_tohit,atk1_avg_dmg,atk1_dmg_roll,atk1_reach,atk1_range,atk2_type,atk2_tohit,atk2_avg_dmg,atk2_dmg_roll,atk2_reach,atk2_range,atk3_type,atk3_tohit,atk3_avg_dmg,atk3_dmg_roll,atk3_reach,atk3_range,spellcasting_Spellcasting,spellcasting_Innate Spellcasting,spellcasting_level,spellcasting_dc,spellcasting_atk,innate_spellcasting_dc,innate_spellcasting_atk,senseTags_SD,senseTags_D,senseTags_B,senseTags_U,senseTags_T,skill_perception,skill_history,skill_stealth,skill_medicine,skill_religion,skill_persuasion,skill_insight,skill_deception,skill_arcana,skill_athletics,skill_acrobatics,skill_survival,skill_intimidation,skill_investigation,skill_nature,skill_performance,skill_sleight of hand,skill_animal handling
Giant Wasp,MM,329,1,beast,0.5,M,12,13,3d8,3,10,10,14,10,1,10,3,0,1,0,10,50,0,0,0,0,-5,0,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,4,5,1d6 + 2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,0,-5,-4,0,-4,-5,0,2,0,-4,-5,-5,-4,2,NA
Giant Weasel,MM,329,1,beast,0.125,M,13,9,2d8,2,13,11,16,10,4,12,5,0,0,0,40,0,0,0,0,0,-3,1,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,5,5,1d4 + 3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,3,-3,5,1,-3,-3,1,-3,-3,0,3,1,-3,-3,-3,-3,3,NA
Giant Wolf Spider,MM,330,1,beast,0.25,M,13,11,2d8 + 2,2,13,12,16,13,3,12,4,0,0,0,40,0,0,40,0,1,-4,1,3,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,mw,3,4,1d6 + 1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,3,-4,7,1,-4,-3,1,-3,-4,1,3,1,-3,-4,-4,-3,3,NA
Gibbering Mouther,MM,157,1,aberration,2,M,9,67,9d8 + 27,9,10,10,8,16,3,10,6,0,0,0,10,0,10,0,0,3,-4,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,2,17,5d6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,-4,-1,0,-4,-2,0,-2,-4,0,-1,0,-2,-4,-4,-2,-1,NA
Githyanki Knight,MM,160,0,humanoid,8,M,18,91,14d8 + 28,14,12,16,14,15,14,14,15,0,0,0,30,0,0,0,0,5,5,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,9,13,2d6 + 6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,NA
Githyanki Warrior,MM,160,0,humanoid,3,M,17,49,9d8 + 9,9,11,15,14,12,13,13,10,0,0,0,30,0,0,0,0,3,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,4,9,2d6 + 2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,1,2,2,1,0,1,1,0,2,NA
Githzerai Monk,MM,161,0,humanoid,2,M,14,38,7d8 + 7,7,14,12,15,12,13,14,10,0,0,0,30,0,0,0,0,1,3,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,4,6,1d8 + 2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,0,4,0,1,1,2,2,0,1,1,0,2,NA
Githzerai Zerth,MM,161,0,humanoid,6,M,17,84,13d8 + 26,13,16,13,18,15,16,17,12,0,0,0,30,0,0,0,0,2,6,6,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,7,11,2d6 + 4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,3,1,6,1,6,1,4,3,1,3,3,1,4,NA
Glabrezu,MM,58,1,fiend,9,L,17,157,15d10 + 75,15,13,20,15,21,19,17,16,0,0,0,40,0,0,0,0,9,4,7,2,7,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,9,16,2d10 + 5,10,NA,mw,9,7,2d4 + 2,5,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,16,NA,0,0,0,1,0,3,4,2,3,4,3,3,3,4,5,2,3,3,4,4,3,2,NA
Gladiator,MM,346,1,humanoid,5,M,16,112,15d8 + 45,15,11,18,15,16,10,12,15,0,0,0,30,0,0,0,0,6,0,1,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mw,rw",7,11,2d6 + 4,5,NA,mw,7,9,2d4 + 4,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,2,0,10,2,1,5,0,0,2,2,NA
Gnoll,MM,163,1,humanoid,0.5,M,15,22,5d8,5,10,14,12,11,6,10,7,0,0,0,30,0,0,0,0,0,-2,0,1,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mw,4,4,1d4 + 2,5,NA,"mw,rw",4,5,1d6 + 2,5,NA,rw,3,5,1d8 + 1,NA,150,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,1,0,-2,-2,0,-2,-2,2,1,0,-2,-2,-2,-2,1,NA
Gnoll Fang of Yeenoghu,MM,163,0,fiend,4,M,14,65,10d8 + 20,10,10,17,15,15,10,11,13,0,0,0,30,0,0,0,0,4,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mw,5,6,1d6 + 3,5,NA,mw,5,7,1d8 + 3,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,3,2,0,1,0,0,1,2,NA
Gnoll Pack Lord,MM,163,0,humanoid,2,M,15,49,9d8 + 9,9,10,16,14,13,8,11,9,0,0,0,30,0,0,0,0,1,-1,0,2,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,mw,5,5,1d4 + 3,5,NA,mw,5,8,1d10 + 3,10,NA,rw,4,6,1d8 + 2,NA,150,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,2,0,-1,-1,0,-1,-1,3,2,0,-1,-1,-1,-1,2,NA
Goat,MM,330,1,beast,0,M,10,4,1d8,1,10,12,10,11,2,10,5,0,0,0,40,0,0,0,0,0,-4,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,3,3,1d4 + 1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,-4,-3,0,-3,-4,1,0,0,-3,-4,-4,-3,0,NA
Goblin,MM,166,1,humanoid,0.25,S,15,7,2d6,2,9,8,14,10,10,8,8,0,0,0,30,0,0,0,0,0,0,-1,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,4,5,1d6 + 2,5,NA,rw,4,5,1d6 + 2,NA,80,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,6,-1,0,-1,-1,-1,0,-1,2,-1,-1,0,0,-1,2,NA
Goblin Boss,MM,166,0,humanoid,1,S,17,21,6d6,6,9,10,14,10,10,8,10,0,0,0,30,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,4,5,1d6 + 2,5,NA,"mw,rw",2,3,1d6,5,30,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,6,-1,0,0,-1,0,0,0,2,-1,0,0,0,0,2,NA
Gold Dragon Wyrmling,MM,115,1,dragon,3,M,17,60,8d8 + 24,8,14,19,14,17,14,11,16,0,1,0,30,60,30,0,0,5,2,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,6,9,1d10 + 4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,4,2,4,0,2,3,0,3,2,4,2,0,3,2,2,3,2,NA
Gorgon,MM,171,1,monstrosity,5,L,19,114,12d10 + 48,12,14,20,11,18,2,12,7,0,0,0,40,0,0,0,0,4,-4,1,0,-2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,8,18,2d12 + 5,5,NA,mw,8,16,2d10 + 5,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,4,-4,0,1,-4,-2,1,-2,-4,5,0,1,-2,-4,-4,-2,0,NA
Goristro,MM,59,0,fiend,17,H,19,310,23d12 + 161,23,17,25,11,25,6,13,14,0,0,0,40,0,0,0,0,13,-2,7,6,2,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mw,13,20,3d8 + 7,10,NA,mw,13,23,3d10 + 7,5,NA,mw,13,45,7d10 + 7,10,NA,0,0,0,0,0,0,0,1,0,0,0,0,7,-2,0,1,-2,2,1,2,-2,7,0,1,2,-2,-2,2,0,NA
Gray Ooze,MM,243,1,ooze,0.5,M,8,22,3d8 + 9,3,8,12,6,16,1,6,2,0,0,0,10,0,0,10,0,3,-5,-2,-2,-4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,3,4,1d6 + 1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,-2,-5,2,-2,-5,-4,-2,-4,-5,1,-2,-2,-4,-5,-5,-4,-2,NA
Gray Slaad,MM,277,0,aberration,9,M,18,127,17d8 + 51,17,17,17,17,16,13,8,14,0,0,0,30,0,0,0,0,3,1,-1,3,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,7,6,1d6 + 3,5,NA,mw,7,8,1d10 + 3,5,NA,mw,7,10,2d6 + 3,5,NA,0,1,0,0,0,14,NA,0,1,1,0,0,7,1,3,-1,1,2,-1,2,5,3,3,-1,2,1,1,2,3,NA
Green Dragon Wyrmling,MM,95,1,dragon,2,M,17,38,7d8 + 7,7,14,15,12,13,14,11,13,0,1,0,30,60,30,0,0,3,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,4,7,1d10 + 2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,4,2,3,0,2,1,0,1,2,2,1,0,1,2,2,1,1,NA
Green Hag,MM,177,1,fey,3,M,17,82,11d8 + 33,11,14,18,12,16,13,14,14,0,0,0,30,0,0,0,0,3,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,6,13,2d8 + 4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,12,NA,0,1,0,0,0,4,1,3,2,1,2,2,4,3,4,1,2,2,1,1,2,1,NA
Green Slaad,MM,277,0,aberration,8,L,16,127,15d10 + 45,15,12,18,15,16,11,8,12,0,0,0,30,0,0,0,0,3,0,-1,2,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,7,11,2d6 + 4,5,NA,mw,7,7,1d6 + 4,5,NA,mw,7,11,2d6 + 4,5,NA,0,1,0,0,0,12,NA,0,1,1,0,0,2,0,2,-1,0,1,-1,1,3,4,2,-1,1,0,0,1,2,NA
Grell,MM,172,0,aberration,3,M,12,55,10d8 + 10,10,14,15,14,13,12,11,9,1,1,0,10,30,0,0,0,1,1,0,2,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,4,7,1d10 + 2,10,NA,mw,4,7,2d4 + 2,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,4,1,6,0,1,-1,0,-1,1,2,2,0,-1,1,1,-1,2,NA
Grick,MM,173,1,monstrosity,2,M,14,27,6d8,6,12,14,14,11,3,14,5,0,0,0,30,0,0,30,0,0,-4,2,2,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,4,9,2d6 + 2,5,NA,mw,4,5,1d6 + 2,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,2,-4,2,2,-4,-3,2,-3,-4,2,2,2,-3,-4,-4,-3,2,NA
Grick Alpha,MM,173,0,monstrosity,7,L,18,75,10d10 + 20,10,12,18,16,15,4,14,9,0,0,0,30,0,0,30,0,2,-3,2,3,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,7,11,2d6 + 4,10,NA,mw,7,22,4d8 + 4,10,NA,mw,7,13,2d8 + 4,10,NA,0,0,0,0,0,0,0,0,1,0,0,0,2,-3,3,2,-3,-1,2,-1,-3,4,3,2,-1,-3,-3,-1,3,NA
Griffon,MM,174,1,monstrosity,2,L,12,59,7d10 + 21,7,15,18,15,16,2,13,8,0,1,0,30,80,0,0,0,3,-4,1,2,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,6,8,1d8 + 4,5,NA,mw,6,11,2d6 + 4,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,5,-4,2,1,-4,-1,1,-1,-4,4,2,1,-1,-4,-4,-1,2,NA
Grimlock,MM,175,1,humanoid,0.25,M,11,11,2d8 + 2,2,13,16,12,12,9,8,6,0,0,0,30,0,0,0,0,1,-1,-1,1,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mw,5,5,1d4 + 3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,3,-1,3,-1,-1,-2,-1,-2,-1,5,1,-1,-2,-1,-1,-2,1,NA
Guard,MM,347,1,humanoid,0.125,M,16,11,2d8 + 2,2,12,13,12,12,10,11,10,0,0,0,30,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mw,rw",3,4,1d6 + 1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,NA
